[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.704134211521346, 251.12021436218618, 242.56350055568265, 5.869647281739194, 97.93892162355246],
[17.70862305500674, 254.9478189006839, 246.26068263223885, 6.057058195490071, 104.40302884819556],
[17.712470635137077, 258.77542343918162, 249.95786470879506, 6.249722994733656, 109.94239364753781],
[17.718883268687637, 262.60302797767929, 253.6550467853512, 6.446645124570392, 119.17831157118098],
[17.723372112173031, 264.51683024692818, 255.50363782362933, 6.551157777380436, 125.64235933011491],
[17.728502219013482, 267.19615342387652, 258.09166527721862, 6.696013895256433, 133.23635111986658],
[17.734273589208986, 269.87547660082492, 260.67969273080791, 6.843516910769545, 141.73263072033535],
[17.739403696049436, 271.406518416224, 262.15856556143041, 6.918985216745442, 149.11981372412743],
[17.746457592955053, 272.17203932392351, 262.89800197674163, 6.985277737652192, 159.27718879593033],
[17.752228963150561, 272.55479977777333, 263.26772018439726, 7.019288549326233, 167.58785541111899],
[17.758000333346065, 271.78927887007376, 262.52828376908599, 6.994854235064917, 175.90011180245688],
[17.763771703541572, 272.17203932392351, 262.89800197674163, 7.02659594223667, 184.20961423470078],
[17.767619283671909, 270.25823705467468, 261.04941093846355, 6.938404892639483, 189.74888281302213],
[17.773390653867416, 268.7271952392756, 259.57053810784106, 6.868195661088503, 198.06130573380142],
[17.778520760707863, 267.19615342387652, 258.09166527721862, 6.795027906951138, 205.44924417354781],
[17.783650867548314, 265.28235115462769, 256.24307423894055, 6.694212977346269, 212.67279896475736],
[17.788139711033708, 261.83750706997978, 252.91561037003999, 6.513420875086484, 218.90734166875967],
[17.793911081229211, 260.30646525458064, 251.43673753941746, 6.43086095808621, 227.2164753187792],
[17.799041188069662, 257.6271420776323, 248.84871008582817, 6.278207390725917, 234.60369866544488],
[17.805453821620226, 254.18229799298433, 245.52124621692758, 6.076967833569368, 243.84081924587559],
[17.812507718525843, 251.12021436218618, 242.56350055568265, 5.882471511097941, 253.99616165113986],
[17.818920352076404, 247.29260982368851, 238.86631847912651, 5.661455513143567, 263.23233805245047],
[17.826615512337078, 243.46500528519078, 235.1691364025703, 5.439941547072887, 274.31265484707961]]
