[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.160355363792377, 229.25967124152908, 221.44783737873414, 5.691528403362731, 71.25994652013847],
[17.168038061427914, 233.52116209449792, 225.56412145211138, 5.881340495209879, 82.323213992026581],
[17.172765875357474, 237.45484595877684, 229.36376828907495, 6.074981144434381, 89.131370986294826],
[17.179266619510617, 240.0773018682961, 231.896866180384, 6.208849722043572, 98.389845316559899],
[17.183994433440176, 243.35537175519522, 235.06323854452035, 6.38732242123747, 104.98880241688119],
[17.191677131075711, 246.63344164209434, 238.2296109086567, 6.568723278105691, 115.97070253169909],
[17.197586898487661, 248.9280905629237, 240.4460715635521, 6.689547280123194, 124.48131085306233],
[17.204087642640804, 251.55054647244299, 242.97916945486116, 6.835774606937767, 133.84292702325052],
[17.210588386793951, 252.86177442720262, 244.2457184005157, 6.9220107552945205, 143.20335583000735],
[17.217680107688288, 253.51738840458245, 244.87899287334298, 6.984776306360713, 153.41475777386285],
[17.224180851841435, 253.51738840458245, 244.87899287334298, 7.004170059580939, 162.77655106820401],
[17.230090619253382, 253.51738840458245, 244.87899287334298, 7.004170059580939, 171.29501139860236],
[17.235409409924138, 252.86177442720262, 244.2457184005157, 6.976428647579144, 178.97013930886419],
[17.240728200594891, 253.51738840458245, 244.87899287334298, 7.013930929949362, 186.63499194937037],
[17.246637968006841, 252.86177442720262, 244.2457184005157, 6.979707609842213, 195.14773380923754],
[17.250774805195206, 250.89493249506316, 242.34589498203391, 6.875660794103132, 201.1033704523108],
[17.253729688901181, 249.2558975516136, 240.76270879996574, 6.787690781604783, 205.35663737175253],
[17.259639456313131, 247.28905561947414, 238.86288538148392, 6.682759077560882, 213.85997965168508],
[17.264958246983884, 244.66659970995488, 236.32978749017488, 6.538075975450519, 221.51883934266976],
[17.269686060913447, 242.04414380043559, 233.79668959886581, 6.392526852157653, 228.32926338796506],
[17.273231921360615, 239.74949487960623, 231.58022894397041, 6.264116302917754, 233.43497346722523],
[17.277959735290175, 235.81581101532728, 227.78058210700678, 6.03294040137678, 240.24255805395421],
[17.28209657247854, 232.53774112842819, 224.61420974287046, 5.85060865289559, 246.19872095538386]]
