[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.430984900040031, 226.46021791499615, 218.74377311114512, 5.26734528169085, 281.86898552108471],
[17.439660938048725, 232.6323376405939, 224.70558295704819, 5.604260442324783, 269.65161357413672],
[17.445858108054935, 235.55597330008757, 227.52959814721279, 5.757771633769196, 260.72648088861689],
[17.452055278061145, 240.10385099263328, 231.92251066524665, 5.979857394938967, 251.80962775267437],
[17.459491882068598, 244.32688027856858, 236.00164371770663, 6.169345032130409, 241.10040206630634],
[17.467548203076674, 248.22506115789349, 239.76699730459279, 6.3387304125054476, 229.50155543058332],
[17.473745373082885, 251.79839363060799, 243.21857142590511, 6.529785936739132, 220.57684100189266],
[17.480562260089716, 256.02142291654332, 247.29770447836512, 6.719410088057318, 210.75538892678935],
[17.487379147096547, 258.29536176281613, 249.49416073738197, 6.808411188352476, 200.94483087462015],
[17.49543546810462, 261.21899742230983, 252.31817592754663, 6.926670316888069, 189.33904954992727],
[17.503491789112697, 262.84323945536187, 253.88707325541586, 6.970100055917171, 177.73562113139792],
[17.51092839312015, 263.81778467519308, 254.82841165213739, 6.9798615071223935, 167.02806473209762],
[17.518984714128223, 263.4929362685827, 254.51463218656355, 6.928307949733134, 155.42649817640074],
[17.528900186138159, 262.51839104875148, 253.57329378984204, 6.841185370289968, 141.14960570166375],
[17.535717073144994, 260.24445220247861, 251.3768375308251, 6.686851720537247, 131.33250991061391],
[17.542533960151825, 257.32081654298491, 248.55282234066047, 6.503070098939779, 121.51680428328604],
[17.546871979156172, 255.37172610332249, 246.6701455472174, 6.4086167353429735, 115.27019519531393],
[17.554308583163625, 252.77293885043923, 244.15990982262664, 6.2454970621144605, 104.41435587024057],
[17.559886036169214, 251.79839363060799, 243.21857142590511, 6.168709385025191, 96.232886599656752],
[17.565463489174803, 249.52445478433515, 241.0221151668882, 6.057413003890249, 88.236897989498686]]
