[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.176080855065763, 200.41660101292297, 193.58757093545415, 4.335945988287133, 93.905014605140877],
[17.182864420659037, 207.59795850663073, 200.524229606441, 4.632356404328684, 103.4115605929311],
[17.189082689119534, 213.8426171968114, 206.55610671164698, 4.915118079818349, 112.23464910802335],
[17.199823334642215, 218.5261112144469, 211.08001454055145, 5.097225444900846, 127.70209832849883],
[17.209433385899349, 221.96067349404626, 214.39754694841474, 5.2543328605312505, 141.5402687447492],
[17.216216951492623, 223.2096052320824, 215.60392236945594, 5.313877853014018, 151.30795216629303],
[17.22243521995312, 224.45853697011853, 216.81029779049712, 5.380778328306801, 160.26254069236916],
[17.229784082679164, 224.45853697011853, 216.81029779049712, 5.391948809850249, 170.85267261109698],
[17.235437054006891, 224.14630403560949, 216.50870393523681, 5.382353717934329, 179.01003030744312],
[17.242785916732934, 221.64844055953722, 214.09595309315444, 5.255585764699202, 189.599999642846],
[17.251830670857299, 218.83834414895594, 211.38160839581175, 5.116091170696884, 202.62345740303846],
[17.257483642185026, 216.34048067288367, 208.96885755372938, 4.982995299047134, 210.75805970368037],
[17.262571316379979, 214.15485013132044, 206.85770056690728, 4.872048233633971, 218.08046172851806],
[17.268789584840476, 211.34475372073913, 204.1433558695646, 4.731766725222514, 227.03788807278761],
[17.27331196190266, 208.53465731015785, 201.42901117222192, 4.596949225689462, 233.55022393360497],
[17.280660824628704, 205.72456089957655, 198.71466647487924, 4.464349886211138, 244.13155426569381]]
