[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[16.929149634064945, 192.73010712740376, 186.16298797781812, 4.2971467661422285, 248.78901506627602],
[16.932873711623198, 197.75575188645124, 191.0173880443364, 4.492011042950043, 243.42671160783357],
[16.93970118714666, 202.78139664549872, 195.87178811085465, 4.711471175683766, 233.33343489607881],
[16.947770021856208, 206.26068917099312, 199.23252661844421, 4.874588507475867, 221.58485182833556],
[16.956459536158796, 209.35339363809925, 202.2198497363016, 5.018832424092282, 209.07419035102487],
[16.964528370868344, 214.37903839714676, 207.07424980281988, 5.244548432444799, 197.45264652825432],
[16.976941962729185, 217.47174286425289, 210.06157292067726, 5.3799220936454955, 179.58034985984335],
[16.984390117845688, 218.6315070394177, 211.18181908987378, 5.426143943177093, 168.85481669851208],
[16.993700311741318, 217.85833092264116, 210.43498831040944, 5.388468770332619, 155.49980504347309],
[17.004872544416077, 215.92539063069984, 208.5679113617486, 5.308109785628077, 139.74956121737978],
[17.013562058718666, 213.60586228037022, 206.32741902335553, 5.194452575587794, 127.23727963891457],
[17.020389534242128, 210.12656975487579, 202.96668051576594, 5.003180577633863, 117.40689522144629],
[17.027837689358631, 202.78139664549872, 195.87178811085465, 4.619448649689032, 106.68066324718239],
[17.032803126102969, 198.52892800322775, 191.76421882380072, 4.411306593198062, 99.530325231499774]]
