[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.171744368351394, 219.45934369243531, 211.9814478929722, 5.208314741146459, 87.660378452318071],
[17.176877021150574, 223.08262054579882, 215.48126458143142, 5.365971376153684, 95.051511261152484],
[17.183150263460682, 228.02345261856723, 220.25374188387576, 5.5971029089862565, 103.81053238276809],
[17.190564095281719, 231.97611827678196, 224.07172372583125, 5.792706599889743, 114.36790653199785],
[17.197977927102755, 236.25817273984794, 228.20787072128306, 6.017988758108104, 125.0444479063915],
[17.203110579901935, 238.89328317865778, 230.75319194925339, 6.157387065633713, 132.43605328826578],
[17.209954116967509, 241.5283936174676, 233.29851317722373, 6.308255638500524, 142.29006999459892],
[17.217938243544008, 242.18717122717004, 233.93484348421629, 6.366184422685652, 153.7864488277346],
[17.224781780609582, 242.84594883687248, 234.57117379120885, 6.424781993328156, 163.64199192567918],
[17.231055022919691, 241.85778242231882, 233.61667833072002, 6.369559330062952, 172.68666637324611],
[17.238468854740727, 242.51656003202129, 234.25300863771261, 6.413834735980041, 183.37945163651369],
[17.241890623273513, 240.86961600776513, 232.66218287023113, 6.329403399337157, 188.30995193119799],
[17.247023276072692, 239.55206078836022, 231.38952225624598, 6.255996461698919, 195.70244619731773],
[17.253866813138266, 237.57572795925284, 229.48053133526821, 6.143706067305796, 205.55394028429214],
[17.256147992160123, 235.27000632529425, 227.25337526079417, 6.014930486398483, 208.83624306755013],
[17.261280644959303, 232.30550708163321, 224.38988887932757, 5.847170501727562, 216.22142432988318],
[17.266983592513945, 230.32917425252583, 222.4808979583498, 5.735127460340165, 224.43635304000674],
[17.270405361046731, 228.6822302282697, 220.89007219086838, 5.6434405766436315, 229.36500609690273],
[17.276678603356839, 224.72956457005495, 217.07209034891287, 5.422176311287122, 238.39785474437264]]
