[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[16.899244990432582, 197.8131659545287, 191.07284577548472, 4.546595174987399, 291.85315716965198],
[16.906826148319023, 202.54025755957338, 195.63886564003164, 4.738321431469445, 280.93520703686966],
[16.915039069362667, 207.99459402693259, 200.90735009912419, 4.958066418697771, 269.1088471629227],
[16.921356700934705, 213.44893049429183, 206.17583455821674, 5.204700423885274, 260.01115010767717],
[16.930201385135554, 218.90326696165107, 211.44431901730931, 5.455336896082769, 247.27459751854076],
[16.936519016707589, 224.35760342901028, 216.71280347640186, 5.712577959602642, 238.06629035273966],
[16.944100174594031, 227.63020530942583, 219.8738941518574, 5.872085525546384, 226.86741642654061],
[16.952944858794879, 232.72091934562775, 224.7911463136771, 6.105874215913597, 214.13497823447636],
[16.962421306152933, 238.17525581298699, 230.05963077276968, 6.3399095503802965, 200.48787685174375],
[16.971265990353782, 240.72061283108798, 232.51825685367956, 6.43444128690015, 187.75114803367734],
[16.981374200869038, 239.99336796877338, 231.81579225913384, 6.394093912146411, 173.19782955041103],
[16.990850648227092, 240.72061283108798, 232.51825685367956, 6.43186136664571, 159.55075390087387],
[16.999063569270739, 239.62974553761612, 231.46455996186103, 6.398805450535221, 148.01267920095484],
[17.005381200842773, 237.44801095067243, 229.35716617822399, 6.300889601765298, 139.01702517822963],
[17.011698832414808, 234.90265393257147, 226.89854009731417, 6.197870702314892, 129.91969776932615],
[17.018016463986843, 230.53918475868409, 222.68375253004012, 5.988678281613027, 120.82443680451433],
[17.025597621873285, 226.17571558479671, 218.46896496276605, 5.763082116022536, 109.90650520170499],
[17.030651727130913, 221.44862397975203, 213.90294509821916, 5.5240358914577605, 102.62838702321159],
[17.037601121860153, 217.44877723702194, 210.03938982821796, 5.331548326854032, 92.621021546052305],
[17.04265522711778, 213.08530806313456, 205.82460226094392, 5.115915074801104, 85.342850853460732]]
