[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.71743923861403, 227.285720900961, 219.54114776496732, 4.654791150529476, 117.09813865638557],
[17.722754599312605, 232.26926201008499, 224.35487882864345, 4.901621299288271, 124.75322900568693],
[17.730432342543885, 234.4050653425667, 226.4179064273618, 5.006419917451595, 136.15127894977144],
[17.740472468307864, 236.89683589712871, 228.82477195919986, 5.140413715641452, 150.65811203905889],
[17.753465572237719, 236.54086867504844, 228.48093402608015, 5.131027963768779, 169.3684610009272],
[17.765868080534396, 237.25280311920898, 229.16860989231958, 5.176879161611127, 187.22771785412624],
[17.77413641939885, 236.54086867504844, 228.48093402608015, 5.1407753726780605, 199.13574074971638],
[17.7776799931979, 234.4050653425667, 226.4179064273618, 5.026962775681667, 204.23881144915902],
[17.786538927695528, 231.91329478800469, 224.01104089552371, 4.892334539127704, 216.64632269848255],
[17.792444884027283, 230.13345867760327, 222.2918512299251, 4.788935138561017, 225.10541913625718]]
