[['Time (AST)', 'Range (km)', 'Height (km)', 'Plasma Frequency (MHz)', 'Azimuth Angle (deg)'],
[17.477375304191181, 218.5795609778238, 211.13164304740624, 4.758270811711341, 215.34586833851131],
[17.485563861824208, 223.04555527327807, 215.44546227744519, 4.949745262691486, 203.55730802550875],
[17.491568804088423, 227.19254997619993, 219.45115156248136, 5.159589954641302, 194.90937507735748],
[17.499757361721446, 230.06354630899193, 222.22432106750637, 5.281698107784474, 183.11416756239004],
[17.507400015512268, 232.29654345671909, 224.38123068252585, 5.374468577600144, 172.1081661304695],
[17.515042669303092, 232.93454264178399, 224.99749057253143, 5.386276590116081, 161.10359130016263],
[17.523777130778317, 230.70154549405686, 222.84058095751195, 5.24466748273622, 148.52569850968194]]
